Date,Open,High,Low,Close,Adj Close,Volume
2023/2/13,1.152688,1.153415,1.148312,1.152721,1.152721,0
2023/2/14,1.150919,1.15307,1.148885,1.150822,1.150822,0
2023/2/15,1.149353,1.151813,1.144344,1.14925,1.14925,0
2023/2/16,1.145098,1.147197,1.142592,1.144971,1.144971,0
2023/2/17,1.143889,1.144496,1.138808,1.144101,1.144101,0
2023/2/20,1.141118,1.148189,1.139506,1.141231,1.141231,0
2023/2/21,1.142081,1.144031,1.139322,1.142338,1.142338,0
2023/2/22,1.141197,1.141741,1.13646,1.141217,1.141217,0
2023/2/23,1.138378,1.140182,1.134983,1.138143,1.138143,0
2023/2/24,1.135702,1.136981,1.127261,1.135694,1.135694,0
2023/2/27,1.135494,1.136122,1.12533,1.135581,1.135581,0
2023/2/28,1.129581,1.132858,1.12855,1.129465,1.129465,0
2023/3/1,1.131862,1.144112,1.131165,1.131901,1.131901,0
2023/3/2,1.142224,1.14285,1.133746,1.142473,1.142473,0
2023/3/3,1.134886,1.139476,1.134469,1.134973,1.134973,0
2023/3/6,1.135547,1.139396,1.130917,1.135468,1.135468,0
2023/3/7,1.132718,1.133782,1.126271,1.132706,1.132706,0
2023/3/8,1.127391,1.130285,1.124556,1.127292,1.127292,0
2023/3/9,1.128866,1.129545,1.125299,1.129421,1.129421,0
2023/3/10,1.127197,1.137256,1.125413,1.126758,1.126758,0
2023/3/13,1.14025,1.146754,1.136259,1.140458,1.140458,0
2023/3/14,1.145519,1.146099,1.139228,1.145338,1.145338,0
2023/3/15,1.141962,1.143282,1.135126,1.14184,1.14184,0
2023/3/16,1.135639,1.139415,1.135448,1.135804,1.135804,0
2023/3/17,1.137561,1.144229,1.137253,1.137448,1.137448,0
2023/3/20,1.144484,1.145334,1.136224,1.144226,1.144226,0
2023/3/21,1.140254,1.142715,1.138527,1.14027,1.14027,0
2023/3/22,1.139735,1.141336,1.137578,1.139849,1.139849,0
2023/3/23,1.140214,1.151625,1.139963,1.140187,1.140187,0
2023/3/24,1.150758,1.151544,1.140205,1.150909,1.150909,0
2023/3/27,1.144644,1.144644,1.138696,1.144526,1.144526,0
2023/3/28,1.139981,1.14307,1.138931,1.140034,1.140034,0
2023/3/29,1.142084,1.142499,1.137931,1.141842,1.141842,0
2023/3/30,1.139588,1.142831,1.136466,1.13964,1.13964,0
2023/3/31,1.142567,1.146681,1.140771,1.142379,1.142379,0
2023/4/3,1.138652,1.142024,1.137215,1.138651,1.138651,0
2023/4/4,1.140687,1.142251,1.137724,1.140889,1.140889,0
2023/4/5,1.141104,1.141839,1.139733,1.140559,1.140559,0
2023/4/6,1.140323,1.143451,1.140064,1.14063,1.14063,0
2023/4/7,1.141572,1.142237,1.138291,1.141381,1.141381,0
2023/4/10,1.141765,1.141998,1.132471,1.141682,1.141682,0
2023/4/11,1.136132,1.141051,1.135904,1.135993,1.135993,0
2023/4/12,1.139698,1.142819,1.138659,1.139877,1.139877,0
2023/4/13,1.140885,1.143454,1.140342,1.141221,1.141221,0
